bib,age,age_group,5k_minutes,10k_minutes,15k_minutes,20k_minutes,gender_F,gender_M,finish_minutes,avg_pace_to_5k,avg_pace_to_10k,avg_pace_to_15k,avg_pace_to_20k,std_at_10k,std_at_15k,std_at_20k,mean_at_10k,mean_at_15k,mean_at_20k,perc_decay_5k_to_10k,perc_decay_10k_to_15k,perc_decay_15k_to_20k
1,34,1,14.3,28.88,43.95,59.03,0,1,125.9,20.98,20.78,20.48,20.33,0.14,0.25,0.29,20.88,20.75,20.64,-0.97,-1.43,-0.73
3,26,1,14.3,28.87,43.95,59.03,0,1,126.07,20.98,20.78,20.48,20.33,0.14,0.25,0.29,20.88,20.75,20.64,-0.94,-1.47,-0.73
5,32,1,14.28,28.87,43.95,59.03,0,1,126.1,21.01,20.78,20.48,20.33,0.16,0.27,0.3,20.9,20.76,20.65,-1.07,-1.47,-0.73
19,29,1,14.28,28.88,43.95,59.03,0,1,128.02,21.01,20.78,20.48,20.33,0.16,0.27,0.3,20.9,20.76,20.65,-1.11,-1.43,-0.73
31,28,1,14.32,28.9,43.97,59.03,0,1,128.58,20.95,20.76,20.47,20.33,0.13,0.24,0.28,20.86,20.73,20.63,-0.9,-1.41,-0.68
2,38,1,14.28,28.87,43.95,59.02,0,1,129.38,21.01,20.78,20.48,20.33,0.16,0.27,0.3,20.9,20.76,20.65,-1.07,-1.47,-0.71
22,31,1,14.42,29.52,44.93,60.58,0,1,129.73,20.8,20.33,20.03,19.81,0.33,0.39,0.43,20.56,20.39,20.24,-2.3,-1.45,-1.11
21,33,1,14.43,29.53,44.97,60.6,0,1,129.77,20.79,20.32,20.01,19.8,0.33,0.39,0.43,20.56,20.37,20.23,-2.27,-1.5,-1.06
8,26,1,14.3,28.87,43.95,59.02,0,1,130.07,20.98,20.78,20.48,20.33,0.14,0.25,0.29,20.88,20.75,20.64,-0.94,-1.47,-0.71
24,29,1,14.42,29.53,44.95,60.6,0,1,130.28,20.8,20.32,20.02,19.8,0.34,0.39,0.43,20.56,20.38,20.24,-2.34,-1.46,-1.1
20,26,1,14.28,28.88,43.93,59.03,0,1,130.42,21.01,20.78,20.49,20.33,0.16,0.26,0.3,20.9,20.76,20.65,-1.11,-1.39,-0.77
27,29,1,14.3,28.98,43.95,59.03,0,1,130.55,20.98,20.7,20.48,20.33,0.2,0.25,0.28,20.84,20.72,20.62,-1.31,-1.09,-0.73
