bib,age,5k_minutes,gender_F,gender_M,finish_minutes,avg_pace_to_5k
1,34,14.3,0,1,125.9,20.98
3,26,14.3,0,1,126.07,20.98
5,32,14.28,0,1,126.1,21.01
19,29,14.28,0,1,128.02,21.01
31,28,14.32,0,1,128.58,20.95
2,38,14.28,0,1,129.38,21.01
22,31,14.42,0,1,129.73,20.8
21,33,14.43,0,1,129.77,20.79
8,26,14.3,0,1,130.07,20.98
24,29,14.42,0,1,130.28,20.8
20,26,14.28,0,1,130.42,21.01
27,29,14.3,0,1,130.55,20.98
25,29,14.43,0,1,130.87,20.79
7,26,14.53,0,1,131.43,20.65
11,31,14.3,0,1,131.83,20.98
26,30,14.5,0,1,132.37,20.69
48,24,15.28,0,1,133.45,19.63
45,30,14.67,0,1,133.95,20.45
18,34,14.42,0,1,134.13,20.8
46,34,14.5,0,1,134.22,20.69
43,33,14.42,0,1,134.45,20.8
12,34,14.28,0,1,134.62,21.01
29,37,14.67,0,1,136.1,20.45
51,27,15.15,0,1,136.42,19.8
28,34,14.67,0,1,137.08,20.45
23,31,15.17,0,1,137.92,19.78
54,30,16.17,0,1,138.07,18.55
50,32,15.85,0,1,138.38,18.93
52,31,16.17,0,1,140.13,18.55
49,38,14.67,0,1,140.33,20.45
62,30,16.2,0,1,140.5,18.52
56,34,16.2,0,1,141.1,18.52
268,36,16.25,0,1,141.42,18.46
251,25,16.28,0,1,141.47,18.43
122,33,17.82,1,0,141.63,16.84
305,25,16.28,0,1,141.67,18.43
512,24,16.58,0,1,141.72,18.09
57,36,16.57,0,1,141.78,18.11
102,31,17.8,1,0,141.83,16.85
105,34,17.82,1,0,141.95,16.84
116,31,17.8,1,0,142.0,16.85
235,30,16.78,0,1,142.13,17.88
121,30,17.8,1,0,142.17,16.85
228,36,16.57,0,1,142.18,18.11
230,38,16.57,0,1,142.18,18.11
59,35,16.18,0,1,142.67,18.54
241,37,16.78,0,1,142.83,17.88
40,33,14.43,0,1,142.92,20.79
58,25,15.83,0,1,143.2,18.95
231,31,16.82,0,1,143.2,17.84
444,30,16.68,0,1,143.27,17.99
257,32,16.72,0,1,143.37,17.94
114,33,17.82,1,0,143.42,16.84
245,30,16.82,0,1,143.45,17.84
55,31,15.8,0,1,143.53,18.99
75,43,16.18,0,1,143.65,18.54
70,40,16.18,0,1,143.73,18.54
270,33,16.82,0,1,144.08,17.84
363,26,16.87,0,1,144.18,17.78
106,30,17.82,1,0,144.2,16.84
267,32,16.62,0,1,144.23,18.05
253,33,16.87,0,1,144.33,17.78
110,27,17.82,1,0,144.5,16.84
113,34,17.82,1,0,144.55,16.84
107,28,17.8,1,0,144.57,16.85
129,34,17.82,1,0,144.62,16.84
104,29,17.82,1,0,144.73,16.84
308,25,16.82,0,1,144.77,17.84
119,34,17.83,1,0,144.82,16.83
588,27,17.33,0,1,144.83,17.31
125,35,17.83,1,0,144.85,16.83
120,29,17.82,1,0,144.97,16.84
111,27,17.82,1,0,145.12,16.84
485,24,16.45,0,1,145.18,18.24
323,29,16.92,0,1,145.2,17.73
311,29,17.05,0,1,145.53,17.6
347,31,17.28,0,1,145.67,17.36
391,25,17.0,0,1,145.78,17.65
115,40,17.83,1,0,145.8,16.83
296,23,16.95,0,1,145.93,17.7
989,22,17.05,0,1,146.02,17.6
299,29,17.02,0,1,146.03,17.63
42,44,15.3,0,1,146.05,19.61
74,42,16.2,0,1,146.12,18.52
283,27,16.55,0,1,146.22,18.13
291,30,17.02,0,1,146.3,17.63
242,27,16.58,0,1,146.42,18.09
293,29,16.8,0,1,146.65,17.86
316,24,16.25,0,1,146.75,18.46
266,30,17.25,0,1,146.77,17.39
335,24,16.57,0,1,146.8,18.11
429,41,17.35,0,1,146.85,17.29
376,22,16.97,0,1,146.92,17.68
294,34,17.07,0,1,146.97,17.57
4330,25,17.72,0,1,147.05,16.93
108,39,17.82,1,0,147.3,16.84
483,39,17.3,0,1,147.42,17.34
271,40,16.78,0,1,147.48,17.88
1043,30,17.23,0,1,147.52,17.41
304,26,15.82,0,1,147.68,18.96
286,26,16.95,0,1,147.75,17.7
380,31,16.97,0,1,147.77,17.68
274,43,17.18,0,1,147.83,17.46
318,31,16.32,0,1,147.98,18.38
349,24,16.92,0,1,148.07,17.73
79,40,16.28,0,1,148.08,18.43
571,24,17.02,0,1,148.1,17.63
295,24,16.88,0,1,148.18,17.77
998,25,17.37,0,1,148.2,17.27
117,28,17.83,1,0,148.2,16.83
